title,bagofwords
Climax,drama horror music gasparnoé sofiaboutella romainguillermic souheilayacoub kiddysmile drama horror music gasparnoé sofiaboutella romainguillermic souheilayacoub kiddysmile french dancers gather empty school building night celebration morphs wintry night hallucinatory nightmare sangria remote rehearse lsd learn laced 
Hotel Mumbai,action drama history anthonymaras devpatel armiehammer nazaninboniadi anupamkher action drama history anthonymaras devpatel armiehammer nazaninboniadi anupamkher people make unthinkable sacrifices taj hotel terrorist attack hotel staff risk keep everyone safe true story protect mumbai lives families 
Tully,comedy drama mystery jasonreitman charlizetheron mackenziedavis ronlivingston ashermilesfallica comedy drama mystery jasonreitman charlizetheron mackenziedavis ronlivingston ashermilesfallica night nanny hired unexpected bond three forms struggling mother newborn baby help 
Insidious: The Last Key,horror mystery thriller adamrobitel linshaye leighwhannell angussampson kirkacevedo horror mystery thriller adamrobitel linshaye leighwhannell angussampson kirkacevedo personal haunting yet ghostly childhood home elise rainier faces terror began parapsychologist dr drawn back fearsome 
Burning,drama mystery chang-donglee yooah-in stevenyeun jong-seojun soo-kyungkim drama mystery chang-donglee yooah-in stevenyeun jong-seojun soo-kyungkim su bumps secret hobby mysterious guy introduces ben used trip neighborhood met look live jong girl confesses cat back asks africa 
Mid90s,comedy drama jonahhill sunnysuljic katherinewaterston lucashedges na-kelsmith comedy drama jonahhill sunnysuljic katherinewaterston lucashedges na-kelsmith motor avenue skate shop troubled home life era los angeles summer navigating new friends follows stevie year thirteen spends old meets group 1990s 
Leave No Trace,adventure drama debragranik thomasinmckenzie benfoster jefferyrifflard derekjohndrescher adventure drama debragranik thomasinmckenzie benfoster jefferyrifflard derekjohndrescher vast urban park small mistake derails old daughter lives forever ideal existence year thirteen portland oregon living father 
I Feel Pretty,comedy romance abbykohn marcsilverstein amyschumer michellewilliams emilyratajkowski tomhopper comedy romance abbykohn marcsilverstein amyschumer michellewilliams emilyratajkowski tomhopper new confidence empowers appearance never changed woman struggling live fearlessly insecurity wakes fall believing capable woman realizes planet happens beautiful 
Truth or Dare,horror thriller jeffwadlow lucyhale tylerposey violettbeane haydenszeto horror thriller jeffwadlow lucyhale tylerposey violettbeane haydenszeto dare among friends turns deadly harmless game dare truth tell something someone refuse punish lie begins 
Adrift,action adventure biography baltasarkormákur shailenewoodley samclaflin jeffreythomas elizabethhawthorne action adventure biography baltasarkormákur shailenewoodley samclaflin jeffreythomas elizabethhawthorne chance encounter leads young couple true story recorded history face one catastrophic hurricanes survival love lifetime first adventure 
Hotel Artemis,action crime drama drewpearce jodiefoster sofiaboutella davebautista sterlingk.brown action crime drama drewpearce jodiefoster sofiaboutella davebautista sterlingk.brown future los angeles hotel artemis emergency room torn set secret runs riot nurse near members follows criminals 
Can You Ever Forgive Me?,biography comedy crime marielleheller melissamccarthy richarde.grant dollywells benfalcone biography comedy crime marielleheller melissamccarthy richarde.grant dollywells benfalcone lee israel falls current tastes art form turns step deception 
Extinction,action drama sci-fi benyoung michaelpeña lizzycaplan ameliacrouch ericatremblay action drama sci-fi benyoung michaelpeña lizzycaplan ameliacrouch ericatremblay unknown strength recurring dream nightmare turns force bent safe realize reality planet losing lives keep invaded harm fighting father family destruction comes 
The House with a Clock in Its Walls,comedy family fantasy eliroth jackblack cateblanchett owenvaccaro kylemaclachlan comedy family fantasy eliroth jackblack cateblanchett owenvaccaro kylemaclachlan young orphan named lewis barnavelt aids magical uncle world power locating end clock bring 
How It Ends,action adventure drama davidm.rosenthal theojames katgraham nancysorel nicoleariparker action adventure drama davidm.rosenthal theojames katgraham nancysorel nicoleariparker pregnant wife miles away man struggles thousands reach midst apocalypse 
Apostle,drama fantasy horror garethevans danstevens richardelfyn paulhiggins billmilner drama fantasy horror garethevans danstevens richardelfyn paulhiggins billmilner sinister religious cult kidnapped sister tangles isolated island dangerous mission rescue drifter 1905 
Arctic,adventure drama joepenna madsmikkelsen mariathelmasmáradóttir tintrinaithikhasuk adventure drama joepenna madsmikkelsen mariathelmasmáradóttir tintrinaithikhasuk plane crash must decide whether relative safety man stranded makeshift camp deadly trek unknown remain embark arctic 
Set It Up,comedy romance clairescanlon zoeydeutch glenpowell lucyliu tayediggs comedy romance clairescanlon zoeydeutch glenpowell lucyliu tayediggs two corporate executive assistants hatch two bosses plan match make 
Mary Queen of Scots,"biography drama history josierourke saoirseronan margotrobbie jacklowden joealwyn biography drama history josierourke saoirseronan margotrobbie jacklowden joealwyn margot robbie ), queen saoirse ronan mary stuart facing execution cousin elizabeth years overthrow imprisonment finds england condemned attempt "
If Beale Street Could Talk,drama romance barryjenkins kikilayne stephanjames reginaking teyonahparris drama romance barryjenkins kikilayne stephanjames reginaking teyonahparris young woman embraces lover innocent family set childhood friend prove pregnancy crime commit 
When We First Met,comedy fantasy romance arisandel adamdevine alexandradaddario shelleyhennig andrewbachelor comedy fantasy romance arisandel adamdevine alexandradaddario shelleyhennig andrewbachelor 3 years later noah meets avery noah returns time machine someone else halloween party gets friend fix things zoned love falls engaged 
The Girl in the Spider's Web,action crime drama fedealvarez clairefoy beaugadsdon sverrirgudnason lakeithstanfield action crime drama fedealvarez clairefoy beaugadsdon sverrirgudnason lakeithstanfield young computer hacker lisbeth salander journalist mikael blomkvist find corrupt government officials web spies cybercriminals caught 
Unsane,drama horror mystery stevensoderbergh clairefoy joshualeonard jaypharoah junotemple drama horror mystery stevensoderbergh clairefoy joshualeonard jaypharoah junotemple young woman mental institution involuntarily committed greatest fear real product delusion confronted 
A Wrinkle in Time,adventure family fantasy avaduvernay stormreid oprahwinfrey reesewitherspoon mindykaling adventure family fantasy avaduvernay stormreid oprahwinfrey reesewitherspoon mindykaling three peculiar beings send meg scientist father space order friend find disappearance brother 
The Old Man & the Gun,biography comedy crime davidlowery robertredford caseyaffleck sissyspacek dannyglover biography comedy crime davidlowery robertredford caseyaffleck sissyspacek dannyglover unprecedented string true story san quentin forrest tucker confounded authorities audacious escape public heists enchanted based age 70 
American Animals,biography crime drama bartlayton spencerreinhard warrenlipka ericborsuk chasallen biography crime drama bartlayton spencerreinhard warrenlipka ericborsuk chasallen four young men mistake audacious heists attempt one u movie lives history 
