title,bagofwords
Quigley Down Under,action adventure drama simonwincer tomselleck laurasangiacomo alanrickman chrishaywood action adventure drama simonwincer tomselleck laurasangiacomo alanrickman chrishaywood australian rancher paying sharpshooter matt quigley quigley arrives high price wyoming seems hired 
Nightbreed,action fantasy horror clivebarker craigsheffer davidcronenberg annebobby charleshaid action fantasy horror clivebarker craigsheffer davidcronenberg annebobby charleshaid mythical place called midian troubled young man sadistic serial killer friendly monsters variety patsy meanwhile looking humanity hiding drawn 
Marked for Death,action adventure crime dwighth.little stevenseagal joannapacula basilwallace keithdavid action adventure crime dwighth.little stevenseagal joannapacula basilwallace keithdavid retired dea agent jamaican drug posse targeted take murder hunt family 
Slacker,comedy drama richardlinklater richardlinklater rudybasquez jeancaffeine janhockey comedy drama richardlinklater richardlinklater rudybasquez jeancaffeine janhockey social misfits camera roams brief look texas provides place overeducated outcasts oddballs life day austin 
Quick Change,comedy crime howardfranklin billmurray billmurray geenadavis randyquaid dalegrand comedy crime howardfranklin billmurray billmurray geenadavis randyquaid dalegrand three thieves successfully rob new york city bank city proves almost impossible making escape 
My Blue Heaven,comedy crime herbertross stevemartin rickmoranis joancusack melaniemayron comedy crime herbertross stevemartin rickmoranis joancusack melaniemayron uptight fbi agent must protect witness protection life mobster suburbs larger heart gold currently 
Days of Being Wild,crime drama romance kar-waiwong lesliecheung maggiecheung andylau carinalau crime drama romance kar-waiwong lesliecheung maggiecheung andylau carinalau real mother man tries woman truth tells raised find 
The Freshman,comedy crime andrewbergman marlonbrando matthewbroderick brunokirby penelopeannmiller comedy crime andrewbergman marlonbrando matthewbroderick brunokirby penelopeannmiller film school student accepts famous cinema godfather demanding total loyalty young man local mobster wing takes resembles n job c 
Pacific Heights,thriller johnschlesinger melaniegriffith matthewmodine michaelkeaton mako thriller johnschlesinger melaniegriffith matthewmodine michaelkeaton mako couple work hard dream house become landlords unfortunately tenants renovate plans pay one 
Internal Affairs,crime drama thriller mikefiggis richardgere andygarcia nancytravis lauriemetcalf crime drama thriller mikefiggis richardgere andygarcia nancytravis lauriemetcalf internal affairs agent becomes obsessed spotless reputation despite web managed maintain involved corruption cop bringing 
Death Warrant,action crime mystery deransarafian jean-claudevandamme robertguillaume cynthiagibb georgedickerson action crime mystery deransarafian jean-claudevandamme robertguillaume cynthiagibb georgedickerson decorated cop louis burke must infiltrate inside murders find answers death tied corrupt prison violent struggle past number life jail finds 
The Adventures of Ford Fairlane,action adventure comedy rennyharlin andrewdiceclay laurenholly waynenewton priscillapresley action adventure comedy rennyharlin andrewdiceclay laurenholly waynenewton priscillapresley vulgar private detective mystery involving music industry murders tied missing groupie series hired find drawn 
Revenge,action crime drama tonyscott kevincostner anthonyquinn madeleinestowe tomasmilian action crime drama tonyscott kevincostner anthonyquinn madeleinestowe tomasmilian retired us navy pilot comes powerful businessman wife unforeseen mexico love falls cruel consequences 
Navy Seals,action adventure thriller lewisteague charliesheen michaelbiehn joannewhalley rickrossovich action adventure thriller lewisteague charliesheen michaelbiehn joannewhalley rickrossovich hardened seal team sets built stinger missiles terrorist hands us shipment mission fallen destroy battle 
Postcards from the Edge,comedy drama mikenichols merylstreep shirleymaclaine dennisquaid genehackman comedy drama mikenichols merylstreep shirleymaclaine dennisquaid genehackman bright side even addicted actress tries move back avoid unemployment substance mother look forced 
Tales from the Darkside: The Movie,comedy fantasy horror johnharrison debbieharry matthewlawrence christianslater davidforrester comedy fantasy horror johnharrison debbieharry matthewlawrence christianslater davidforrester young boy tells three stories witch plans horror eat distract 
Reversal of Fortune,biography drama mystery barbetschroeder jeremyirons glennclose ronsilver annabellasciorra biography drama mystery barbetschroeder jeremyirons glennclose ronsilver annabellasciorra wealthy sunny von bülow lies brain husband claus guilty hires alan dershowitz attempted murder says innocent dead appeal 
The Russia House,drama romance thriller fredschepisi seanconnery michellepfeiffer royscheider jamesfox drama romance thriller fredschepisi seanconnery michellepfeiffer royscheider jamesfox expatriate british publisher unexpectedly finds british intelligence investigate people working russia 
Leatherface: Texas Chainsaw Massacre III,horror thriller jeffburr katehodge kenforee r.a.mihailoff williambutler horror thriller jeffburr katehodge kenforee r.a.mihailoff williambutler survivalist encounter leatherface california couple family 
Bride of Re-Animator,comedy horror sci-fi brianyuzna jeffreycombs bruceabbott claudeearljones fabianaudenio comedy horror sci-fi brianyuzna jeffreycombs bruceabbott claudeearljones fabianaudenio doctors herbert west dan cain discover creating human life perfect woman dead tissue secret proceed create 
I Love You to Death,comedy crime lawrencekasdan kevinkline traceyullman williamhurt joanplowright comedy crime lawrencekasdan kevinkline traceyullman williamhurt joanplowright tracey ullman ). serial womanizer pizza parlor kevin kline joey boca rosalie goes rosalie owns married finds extremes cheating also 
Alice,comedy romance woodyallen miafarrow williamhurt joemantegna junesquibb comedy romance woodyallen miafarrow williamhurt joemantegna junesquibb spoiled manhattan housewife chinatown healer visiting life evaluates 
Cadillac Man,comedy crime rogerdonaldson robinwilliams timrobbins pamelareed frandrescher comedy crime rogerdonaldson robinwilliams timrobbins pamelareed frandrescher joey gets 2 days takes everybody hostage sell 12 cars machine gun crashes juggling 3 buyers gets worse girlfriends happy car dealership keep job guy 
House Party,comedy music romance reginaldhudlin christopherreid robinharris christophermartin martinlawrence comedy music romance reginaldhudlin christopherreid robinharris christophermartin martinlawrence wildest night kid decides house party friend play store predict neither lives go could 
Hardware,sci-fi thriller richardstanley dylanmcdermott staceytravis johnlynch carlmccoy sci-fi thriller richardstanley dylanmcdermott staceytravis johnlynch carlmccoy violent rampage space marine cyborg reactivates rebuilds head goes girlfriend apartment 
Blue Steel,action crime drama kathrynbigelow jamieleecurtis ronsilver clancybrown elizabethpeña action crime drama kathrynbigelow jamieleecurtis ronsilver clancybrown elizabethpeña police force must engage wielding psychopath mouse game becomes obsessed rookie pistol cat 
Henry & June,biography drama philipkaufman fredward umathurman mariademedeiros richarde.grant biography drama philipkaufman fredward umathurman mariademedeiros richarde.grant anaïs nin meets sexual awakening includes henry henry miller american writer wife paris keeps june diary 1931 
The Sheltering Sky,adventure drama bernardobertolucci debrawinger johnmalkovich campbellscott jillbennett adventure drama bernardobertolucci debrawinger johnmalkovich campbellscott jillbennett american couple travel abroad trip drags seems futile revitalize relationship recovering attempt 
Mr. Destiny,comedy fantasy romance jamesorr jimbelushi lindahamilton michaelcaine jonlovitz comedy fantasy romance jamesorr jimbelushi lindahamilton michaelcaine jonlovitz unhappy larry burrows sees winning home run life could teenager made like 
The Two Jakes,crime drama mystery jacknicholson jacknicholson harveykeitel megtilly madeleinestowe crime drama mystery jacknicholson jacknicholson harveykeitel megtilly madeleinestowe gittes investigating adultery finds j j sequel oil murder money jake comes chinatown 1974 
Captain America,action adventure sci-fi albertpyun mattsalinger ronnycox nedbeatty darrenmcgavin action adventure sci-fi albertpyun mattsalinger ronnycox nedbeatty darrenmcgavin red skull captain america ice frozen freed decades battle archcriminal 
Mo' Better Blues,drama music romance spikelee denzelwashington spikelee wesleysnipes giancarloesposito drama music romance spikelee denzelwashington spikelee wesleysnipes giancarloesposito jazz trumpeter bleek gilliam makes questionable decisions romantic lives professional 
White Hunter Black Heart,adventure drama clinteastwood clinteastwood jefffahey charlottecornwell normanlumsden adventure drama clinteastwood clinteastwood jefffahey charlottecornwell normanlumsden thinly fictionalized account legendary movie director movie crew whose desire grim situation animal turns hunt africa 
The Hot Spot,crime drama romance dennishopper donjohnson virginiamadsen jenniferconnelly charlesmartinsmith crime drama romance dennishopper donjohnson virginiamadsen jenniferconnelly charlesmartinsmith drifter quickly gets upon arriving small town local women local authorities trouble robs bank 
Dark Angel,action crime horror craigr.baxley dolphlundgren brianbenben betsybrantley matthiashues action crime horror craigr.baxley dolphlundgren brianbenben betsybrantley matthiashues sinister plans renegade cop fbi agent drug dealers work order group forced bring 
Graveyard Shift,horror ralphs.singleton davidandrews kellywolf stephenmacht andrewdivoff horror ralphs.singleton davidandrews kellywolf stephenmacht andrewdivoff deadly accidents start happening serious rat infestation old textile mill horrifying secret deep corrupt foreman continues workers put discover danger basement 
Metropolitan,comedy drama romance whitstillman carolynfarina edwardclements chriseigeman taylornichols comedy drama romance whitstillman carolynfarina edwardclements chriseigeman taylornichols unusual outsider joins gala debutante season young upper class manhattanites blithely passing stirs group 
Bullet in the Head,action crime drama johnwoo tonychiu-waileung jackycheung waiselee simonyam action crime drama johnwoo tonychiu-waileung jackycheung waiselee simonyam three close friends escape totally shatters time saigon hong kong harrowing experience friendship forever war start lives life go criminal 
Life Is Sweet,comedy drama mikeleigh alisonsteadman jimbroadbent claireskinner janehorrocks comedy drama mikeleigh alisonsteadman jimbroadbent claireskinner janehorrocks twin daughters ponder class suburb north shop assistant cook husband working weeks london lives 
Trust,comedy drama halhartley adrienneshelly martindonovan rebeccanelson johnmackay comedy drama halhartley adrienneshelly martindonovan rebeccanelson johnmackay kidnapped maria sets maria ends maria encounters meets matthew married woman abandoned house woman house thrown find complains children baby 
Frankenhooker,comedy horror sci-fi frankhenenlotter jameslorinz joanneritchie pattymullen j.j.clark comedy horror sci-fi frankhenenlotter jameslorinz joanneritchie pattymullen j.j.clark new body made medical student sets manhattan street prostitutes decapitated fiancée recreate building 
The Handmaid's Tale,drama romance sci-fi volkerschlöndorff natasharichardson fayedunaway aidanquinn elizabethmcgovern drama romance sci-fi volkerschlöndorff natasharichardson fayedunaway aidanquinn elizabethmcgovern women cannot conceive children dystopian religious tyranny young women provide children sexual slavery influential families live form 
Ernest Goes to Jail,comedy crime family johnr.cherryiii jimvarney gailardsartain billbyrge barbaratyson comedy crime family johnr.cherryiii jimvarney gailardsartain billbyrge barbaratyson bank janitor ernest p ernest sent soon finds lookalike defendant jury duty attorney arranges worrell trouble switch prison place client called 
Repossessed,"comedy fantasy horror boblogan leslienielsen lindablair nedbeatty anthonystarke comedy fantasy horror boblogan leslienielsen lindablair nedbeatty anthonystarke linda blair leslie nielsen 1973 ), satan possessed parody exorcist "
Narrow Margin,action crime thriller peterhyams genehackman annearcher jamessikking j.t.walsh action crime thriller peterhyams genehackman annearcher jamessikking j.t.walsh los angeles deputy district attorney mafia murder accidentally witnessed woman sent protect 
Taking Care of Business,comedy arthurhiller jimbelushi charlesgrodin annedesalvo lorynlocklin comedy arthurhiller jimbelushi charlesgrodin annedesalvo lorynlocklin uptight advertising exec mistakenly ends friendly convict filofax organizer entire life poses hands 
Miami Blues,comedy crime drama georgearmitage fredward alecbaldwin jenniferjasonleigh ceciliapérez-cervera comedy crime drama georgearmitage fredward alecbaldwin jenniferjasonleigh ceciliapérez-cervera old criminal ways first act restarts potency moving miami freedom ex even con 
The Krays,biography crime drama petermedak garykemp martinkemp billiewhitelaw tombell biography crime drama petermedak garykemp martinkemp billiewhitelaw tombell based movie follows twin crime 60s underworld lords london life fact 
The Reflecting Skin,drama horror thriller philipridley viggomortensen lindsayduncan jeremycooper sheilamoore drama horror thriller philipridley viggomortensen lindsayduncan jeremycooper sheilamoore young boy living rural usa fantasizes troublesome family neighboring widow vampire responsible number disappearances area actually 1950 
